date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:37	172/172	---M-Z	200	added ('OK')	text/plain	date:Fri,%2026%20Sep%202025%2011:47:51%20GMT	https://dear-jean.co.za/robots.txt		(from )
13:48:38	249077/249077	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2011:47:51%20GMT	https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/index8fdb.html	(from )
13:48:38	2947/2947	---M-Z	200	added ('OK')	text/css	etag:%22b83-63dd18882da00-gzip%22	https://dear-jean.co.za/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.1	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/plugins/contact-form-7/includes/css/styles6a4d.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:38	255934/255934	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2009:30:06%20GMT	https://dear-jean.co.za/	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/index.html	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:38	128773/128773	---M-Z	200	added ('OK')	text/css	etag:%221f705-63dcdad660bc0-gzip%22	https://dear-jean.co.za/wp-content/plugins/salient-portfolio/css/portfolio.css?ver=1.8.2	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/plugins/salient-portfolio/css/portfolioef6d.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:39	382/382	---M-Z	200	added ('OK')	text/css	etag:%2217e-63e6ba0f382c0-gzip%22	https://dear-jean.co.za/wp-content/uploads/useanyfont/uaf.css?ver=1757481843	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/uploads/useanyfont/uaf8958.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:39	125/125	---M-Z	200	added ('OK')	text/css	etag:%227d-63e83e7365740-gzip%22	https://dear-jean.co.za/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script.css?ver=2c532d7e2be36f6af233	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script413f.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:39	2782/2782	---M-Z	200	added ('OK')	text/css	etag:%22ade-63e5fd95f9880-gzip%22	https://dear-jean.co.za/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1757431250	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.mindba1.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:39	49935/49935	---M-Z	200	added ('OK')	text/css	etag:%22c30f-63dcd8fb72b40-gzip%22	https://dear-jean.co.za/wp-content/themes/salient/css/font-awesome-legacy.min.css?ver=4.7.1	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/themes/salient/css/font-awesome-legacy.min6996.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
13:48:40	21942/21942	---M-Z	200	added ('OK')	text/css	etag:%2255b6-63dcd8fb72b40-gzip%22	https://dear-jean.co.za/wp-content/themes/salient/css/build/grid-system.css?ver=17.3.1	C:/Users/Tsie%20Masilo/Desktop/Business/JNBNB/new%20alteram%20website/dear-jean.co.za/wp-content/themes/salient/css/build/grid-systemab5a.css	(from https://dear-jean.co.za/?utm_source=Google_My_Business&utm_medium=Organic_Search)
